"Year","Scenario","Population"
2024,"High",27095255
2025,"High",27594464
2026,"High",28086207
2027,"High",28570009
2028,"High",29042054
2029,"High",29500502
2030,"High",29944100
2031,"High",30373698
2032,"High",30788281
2033,"High",31200900
2034,"High",31611780
2035,"High",32021148
2036,"High",32429254
2037,"High",32836248
2038,"High",33242207
2039,"High",33647144
2040,"High",34050838
2041,"High",34453048
2042,"High",34853582
2043,"High",35252197
2044,"High",35648618
2045,"High",36042657
2046,"High",36434115
2047,"High",36822929
2048,"High",37209139
2049,"High",37592743
2050,"High",37973865
2051,"High",38352711
2052,"High",38729617
2053,"High",39104964
2054,"High",39479130
2055,"High",39852558
2056,"High",40225669
2057,"High",40598856
2058,"High",40972461
2059,"High",41346753
2060,"High",41721892
2061,"High",42097990
2062,"High",42474992
2063,"High",42852792
2064,"High",43231258
2065,"High",43610243
2066,"High",43989685
2067,"High",44369451
2068,"High",44749444
2069,"High",45129481
2070,"High",45509357
2071,"High",45888867
2024,"Medium",26971766
2025,"Medium",27395011
2026,"Medium",27805684
2027,"Medium",28201094
2028,"Medium",28581272
2029,"Medium",28946317
2030,"Medium",29294970
2031,"Medium",29628141
2032,"Medium",29944139
2033,"Medium",30255082
2034,"Medium",30561214
2035,"Medium",30862815
2036,"Medium",31160201
2037,"Medium",31453335
2038,"Medium",31742414
2039,"Medium",32027609
2040,"Medium",32308944
2041,"Medium",32586368
2042,"Medium",32859780
2043,"Medium",33129057
2044,"Medium",33394090
2045,"Medium",33654800
2046,"Medium",33911034
2047,"Medium",34162704
2048,"Medium",34409841
2049,"Medium",34652393
2050,"Medium",34890378
2051,"Medium",35123948
2052,"Medium",35353281
2053,"Medium",35578653
2054,"Medium",35800310
2055,"Medium",36018580
2056,"Medium",36233685
2057,"Medium",36445900
2058,"Medium",36655452
2059,"Medium",36862520
2060,"Medium",37067287
2061,"Medium",37269885
2062,"Medium",37470402
2063,"Medium",37668912
2064,"Medium",37865441
2065,"Medium",38060030
2066,"Medium",38252663
2067,"Medium",38443367
2068,"Medium",38632078
2069,"Medium",38818718
2070,"Medium",39003121
2071,"Medium",39185129
2024,"Low",26869019
2025,"Low",27235315
2026,"Low",27580551
2027,"Low",27902964
2028,"Low",28204391
2029,"Low",28488756
2030,"Low",28754774
2031,"Low",29003323
2032,"Low",29232681
2033,"Low",29455940
2034,"Low",29673319
2035,"Low",29885092
2036,"Low",30091582
2037,"Low",30292784
2038,"Low",30488939
2039,"Low",30680281
2040,"Low",30866912
2041,"Low",31048868
2042,"Low",31226136
2043,"Low",31398665
2044,"Low",31566394
2045,"Low",31729273
2046,"Low",31887151
2047,"Low",32039916
2048,"Low",32187550
2049,"Low",32329935
2050,"Low",32466996
2051,"Low",32598771
2052,"Low",32725307
2053,"Low",32846736
2054,"Low",32963157
2055,"Low",33074749
2056,"Low",33181609
2057,"Low",33283914
2058,"Low",33381830
2059,"Low",33475528
2060,"Low",33565236
2061,"Low",33651180
2062,"Low",33733579
2063,"Low",33812657
2064,"Low",33888603
2065,"Low",33961606
2066,"Low",34031792
2067,"Low",34099312
2068,"Low",34164217
2069,"Low",34226525
2070,"Low",34286154
2071,"Low",34343015
