"Date","State/Territory","Net Interstate Migration"
"Jun-1981","NSW",-6330
"Sep-1981","NSW",-7768
"Dec-1981","NSW",-4528
"Mar-1982","NSW",-3824
"Jun-1982","NSW",-3464
"Sep-1982","NSW",-5094
"Dec-1982","NSW",-4193
"Mar-1983","NSW",-2809
"Jun-1983","NSW",-5085
"Sep-1983","NSW",-2955
"Dec-1983","NSW",-3333
"Mar-1984","NSW",-1565
"Jun-1984","NSW",-2414
"Sep-1984","NSW",-2640
"Dec-1984","NSW",-1646
"Mar-1985","NSW",-1219
"Jun-1985","NSW",-3823
"Sep-1985","NSW",-3549
"Dec-1985","NSW",-3641
"Mar-1986","NSW",-2127
"Jun-1986","NSW",-3145
"Sep-1986","NSW",-2476
"Dec-1986","NSW",-1397
"Mar-1987","NSW",-2887
"Jun-1987","NSW",-2764
"Sep-1987","NSW",-2003
"Dec-1987","NSW",-3141
"Mar-1988","NSW",-4029
"Jun-1988","NSW",-4167
"Sep-1988","NSW",-7495
"Dec-1988","NSW",-7594
"Mar-1989","NSW",-11342
"Jun-1989","NSW",-11543
"Sep-1989","NSW",-10427
"Dec-1989","NSW",-9163
"Mar-1990","NSW",-8884
"Jun-1990","NSW",-7509
"Sep-1990","NSW",-5141
"Dec-1990","NSW",-6389
"Mar-1991","NSW",-3372
"Jun-1991","NSW",-2304
"Sep-1991","NSW",-2989
"Dec-1991","NSW",-3719
"Mar-1992","NSW",-5164
"Jun-1992","NSW",-1935
"Sep-1992","NSW",-3407
"Dec-1992","NSW",-5250
"Mar-1993","NSW",-5784
"Jun-1993","NSW",-3094
"Sep-1993","NSW",-2998
"Dec-1993","NSW",-2895
"Mar-1994","NSW",-2330
"Jun-1994","NSW",-3957
"Sep-1994","NSW",-2412
"Dec-1994","NSW",-3658
"Mar-1995","NSW",-4447
"Jun-1995","NSW",-2961
"Sep-1995","NSW",-2527
"Dec-1995","NSW",-4506
"Mar-1996","NSW",-5522
"Jun-1996","NSW",-2215
"Sep-1996","NSW",-3401
"Dec-1996","NSW",-3241
"Mar-1997","NSW",-2519
"Jun-1997","NSW",-1500
"Sep-1997","NSW",-3144
"Dec-1997","NSW",-3555
"Mar-1998","NSW",-2425
"Jun-1998","NSW",-3125
"Sep-1998","NSW",-2663
"Dec-1998","NSW",-3750
"Mar-1999","NSW",-2909
"Jun-1999","NSW",-3728
"Sep-1999","NSW",-2970
"Dec-1999","NSW",-4295
"Mar-2000","NSW",-3580
"Jun-2000","NSW",-3429
"Sep-2000","NSW",-3427
"Dec-2000","NSW",-4272
"Mar-2001","NSW",-4182
"Jun-2001","NSW",-4434
"Sep-2001","NSW",-4092
"Dec-2001","NSW",-6814
"Mar-2002","NSW",-6631
"Jun-2002","NSW",-7565
"Sep-2002","NSW",-7317
"Dec-2002","NSW",-9561
"Mar-2003","NSW",-7417
"Jun-2003","NSW",-8172
"Sep-2003","NSW",-7741
"Dec-2003","NSW",-8616
"Mar-2004","NSW",-7239
"Jun-2004","NSW",-7502
"Sep-2004","NSW",-6116
"Dec-2004","NSW",-7071
"Mar-2005","NSW",-6828
"Jun-2005","NSW",-6306
"Sep-2005","NSW",-5563
"Dec-2005","NSW",-7787
"Mar-2006","NSW",-6188
"Jun-2006","NSW",-6038
"Sep-2006","NSW",-5523
"Dec-2006","NSW",-7796
"Mar-2007","NSW",-6051
"Jun-2007","NSW",-6901
"Sep-2007","NSW",-4892
"Dec-2007","NSW",-5070
"Mar-2008","NSW",-5330
"Jun-2008","NSW",-5488
"Sep-2008","NSW",-5323
"Dec-2008","NSW",-5386
"Mar-2009","NSW",-4537
"Jun-2009","NSW",-3421
"Sep-2009","NSW",-2197
"Dec-2009","NSW",-2536
"Mar-2010","NSW",-2065
"Jun-2010","NSW",-2660
"Sep-2010","NSW",-2293
"Dec-2010","NSW",-3831
"Mar-2011","NSW",-3360
"Jun-2011","NSW",-4012
"Sep-2011","NSW",-3698
"Dec-2011","NSW",-4999
"Mar-2012","NSW",-4948
"Jun-2012","NSW",-4470
"Sep-2012","NSW",-3786
"Dec-2012","NSW",-3718
"Mar-2013","NSW",-3725
"Jun-2013","NSW",-3416
"Sep-2013","NSW",-1713
"Dec-2013","NSW",-2466
"Mar-2014","NSW",-957
"Jun-2014","NSW",-1615
"Sep-2014","NSW",-1184
"Dec-2014","NSW",-1826
"Mar-2015","NSW",-1662
"Jun-2015","NSW",-2104
"Sep-2015","NSW",-2006
"Dec-2015","NSW",-3131
"Mar-2016","NSW",-3262
"Jun-2016","NSW",-3140
"Sep-2016","NSW",-2454
"Dec-2016","NSW",-4462
"Mar-2017","NSW",-4608
"Jun-2017","NSW",-4440
"Sep-2017","NSW",-4092
"Dec-2017","NSW",-6843
"Mar-2018","NSW",-5942
"Jun-2018","NSW",-5622
"Sep-2018","NSW",-4749
"Dec-2018","NSW",-7098
"Mar-2019","NSW",-6209
"Jun-2019","NSW",-5774
"Sep-2019","NSW",-5164
"Dec-2019","NSW",-7466
"Mar-2020","NSW",-5647
"Jun-2020","NSW",-4173
"Sep-2020","NSW",-7338
"Dec-2020","NSW",-9883
"Mar-2021","NSW",-9445
"Jun-2021","NSW",-7342
"Sep-2021","NSW",-12615
"Dec-2021","NSW",-13462
"Mar-2022","NSW",-9172
"Jun-2022","NSW",-4086
"Sep-2022","NSW",-7985
"Dec-2022","NSW",-10317
"Mar-2023","NSW",-7825
"Jun-2023","NSW",-8031
"Sep-2023","NSW",-7029
"Dec-2023","NSW",-8793
"Jun-1981","VIC",-3330
"Sep-1981","VIC",-4897
"Dec-1981","VIC",-4354
"Mar-1982","VIC",-3393
"Jun-1982","VIC",-1785
"Sep-1982","VIC",-1840
"Dec-1982","VIC",-1739
"Mar-1983","VIC",-1196
"Jun-1983","VIC",-361
"Sep-1983","VIC",-1221
"Dec-1983","VIC",-1139
"Mar-1984","VIC",-155
"Jun-1984","VIC",-825
"Sep-1984","VIC",-1255
"Dec-1984","VIC",-1167
"Mar-1985","VIC",-2328
"Jun-1985","VIC",-1049
"Sep-1985","VIC",-2754
"Dec-1985","VIC",-4159
"Mar-1986","VIC",-3458
"Jun-1986","VIC",-2830
"Sep-1986","VIC",-3195
"Dec-1986","VIC",-3812
"Mar-1987","VIC",-3921
"Jun-1987","VIC",-2177
"Sep-1987","VIC",-3371
"Dec-1987","VIC",-4396
"Mar-1988","VIC",-4823
"Jun-1988","VIC",-1833
"Sep-1988","VIC",-2076
"Dec-1988","VIC",-3167
"Mar-1989","VIC",-5125
"Jun-1989","VIC",-2136
"Sep-1989","VIC",-2340
"Dec-1989","VIC",-1966
"Mar-1990","VIC",-3139
"Jun-1990","VIC",-384
"Sep-1990","VIC",-2322
"Dec-1990","VIC",-3208
"Mar-1991","VIC",-5335
"Jun-1991","VIC",-3988
"Sep-1991","VIC",-4626
"Dec-1991","VIC",-4506
"Mar-1992","VIC",-5954
"Jun-1992","VIC",-3341
"Sep-1992","VIC",-6596
"Dec-1992","VIC",-5120
"Mar-1993","VIC",-7738
"Jun-1993","VIC",-5934
"Sep-1993","VIC",-8573
"Dec-1993","VIC",-6473
"Mar-1994","VIC",-8543
"Jun-1994","VIC",-5606
"Sep-1994","VIC",-5694
"Dec-1994","VIC",-4907
"Mar-1995","VIC",-6357
"Jun-1995","VIC",-5062
"Sep-1995","VIC",-4088
"Dec-1995","VIC",-2698
"Mar-1996","VIC",-3203
"Jun-1996","VIC",-2811
"Sep-1996","VIC",-2606
"Dec-1996","VIC",-1361
"Mar-1997","VIC",-684
"Jun-1997","VIC",-1544
"Sep-1997","VIC",-539
"Dec-1997","VIC",126
"Mar-1998","VIC",117
"Jun-1998","VIC",26
"Sep-1998","VIC",-427
"Dec-1998","VIC",1678
"Mar-1999","VIC",526
"Jun-1999","VIC",750
"Sep-1999","VIC",689
"Dec-1999","VIC",1918
"Mar-2000","VIC",1529
"Jun-2000","VIC",1083
"Sep-2000","VIC",1226
"Dec-2000","VIC",1082
"Mar-2001","VIC",1986
"Jun-2001","VIC",869
"Sep-2001","VIC",1020
"Dec-2001","VIC",1229
"Mar-2002","VIC",1796
"Jun-2002","VIC",-436
"Sep-2002","VIC",-489
"Dec-2002","VIC",273
"Mar-2003","VIC",517
"Jun-2003","VIC",-1044
"Sep-2003","VIC",-475
"Dec-2003","VIC",-1219
"Mar-2004","VIC",-365
"Jun-2004","VIC",-992
